yoa	country	gender	perc
2009	MU	M	0.0
2009	MX	F	0.0
2009	MX	M	0.0
2009	MY	F	0.0029
2009	MY	M	0.004
2009	MZ	F	0.0
2009	MZ	M	0.0
2009	NI	F	0.0
2009	NI	M	0.0
2009	NM	F	0.0
2009	NM	M	0.0
2009	NP	F	0.0545
2009	NP	M	0.0528
2009	PAL	F	0.0
2009	PAL	M	0.0
2009	PE	F	0.0
2009	PE	M	0.0
2009	PH	F	0.0
2009	PH	M	0.0
2009	PK	F	0.0
2009	PK	M	0.0
2009	RG	F	0.0
2009	RG	M	0.0
2009	RO	F	0.0
2009	RO	M	0.0
2009	RS	F	0.0
2009	RS	M	0.0
2009	RW	F	0.0015
2009	RW	M	0.0026
2009	SA	F	0.0
2009	SA	M	0.0
2009	SB	F	0.0
2009	SB	M	0.0
2009	SD	F	0.0
2009	SD	M	0.0
2009	SF	F	0.0
2009	SF	M	0.0
2009	SG	F	0.0
2009	SG	M	0.0
2009	SH	F	0.0
2009	SH	M	0.0
2009	SK	F	0.0
2009	SK	M	0.0
2009	SL	F	0.0
2009	SL	M	0.0
2009	SO	F	0.0987
2009	SO	M	0.0528
2009	SR	F	0.0
2009	SR	M	0.0
2009	SSU	F	0.0
2009	SSU	M	0.0
2009	SU	F	0.0
2009	SU	M	0.0026
2009	SY	F	0.0044
2009	SY	M	0.0
2009	TB	F	0.0
2009	TB	M	0.0
2009	TH	F	0.0604
2009	TH	M	0.0766
2009	TO	F	0.0
2009	TO	M	0.0
2009	TS	F	0.0
2009	TS	M	0.0
2009	TU	F	0.0044
2009	TU	M	0.0
2009	TX	F	0.0
2009	TX	M	0.0
2009	TZ	F	0.0
2009	TZ	M	0.0
2009	UG	F	0.0029
2009	UG	M	0.0026
2009	UP	F	0.0
2009	UP	M	0.0
2009	UZ	F	0.0
2009	UZ	M	0.0
2009	VE	F	0.0
2009	VE	M	0.0
2009	VN	F	0.0
2009	VN	M	0.004
2009	YM	F	0.0044
2009	YM	M	0.0066
2009	YO	F	0.0
2009	YO	M	0.0
2009	ZA	F	0.0029
2009	ZA	M	0.0013
2009	ZI	F	0.0
2009	ZI	M	0.0
2009	ZR	F	0.0
2009	ZR	M	0.0
2010	AB	F	0.0
2010	AB	M	0.0
2010	AF	F	0.0041
2010	AF	M	0.0072
2010	AJ	F	0.0
2010	AJ	M	0.0
2010	AK	F	0.0
2010	AK	M	0.0
2010	AM	F	0.0
2010	AM	M	0.0018
2010	AO	F	0.0
2010	AO	M	0.0
2010	AR	F	0.0
2010	AR	M	0.0
2010	AU	F	0.0
2010	AU	M	0.0
2010	BA	F	0.0
2010	BA	M	0.0
2010	BC	F	0.0
2010	BC	M	0.0
2010	BE	F	0.0
2010	BE	M	0.0
2010	BK	F	0.0
2010	BK	M	0.0
2010	BM	F	0.142
2010	BM	M	0.1721
2010	BO	F	0.0
2010	BO	M	0.0
2010	BR	F	0.0
2010	BR	M	0.0
2010	BT	F	0.1704
2010	BT	M	0.1576
2010	BY	F	0.0
2010	BY	M	0.0
2010	CB	F	0.0
2010	CB	M	0.0
2010	CD	F	0.0
2010	CD	M	0.0
2010	CE	F	0.0061
2010	CE	M	0.0091
2010	CG	F	0.0061
2010	CG	M	0.0036
2010	CH	F	0.0
2010	CH	M	0.0
2010	CI	F	0.0
2010	CI	M	0.0
2010	CM	F	0.0
2010	CM	M	0.0018
2010	CN	F	0.0
2010	CN	M	0.0
2010	CO	F	0.0
2010	CO	M	0.0
2010	CT	F	0.0061
2010	CT	M	0.0018
2010	CU	F	0.0081
2010	CU	M	0.0109
2010	DA	F	0.0
2010	DA	M	0.0
2010	DC	F	0.0568
2010	DC	M	0.0217
2010	DJ	F	0.0041
2010	DJ	M	0.0091
2010	EC	F	0.0
2010	EC	M	0.0
2010	EG	F	0.0081
2010	EG	M	0.0
2010	ER	F	0.0081
2010	ER	M	0.0145
2010	ET	F	0.0406
2010	ET	M	0.0543
2010	GA	F	0.0
2010	GA	M	0.0
2010	GB	F	0.0
2010	GB	M	0.0
2010	GG	F	0.0041
2010	GG	M	0.0
2010	GH	F	0.0
2010	GH	M	0.0
2010	GT	F	0.0
2010	GT	M	0.0
2010	GU	F	0.0
2010	GU	M	0.0018
2010	HA	F	0.0
2010	HA	M	0.0
2010	HK	F	0.0
2010	HK	M	0.0
2010	HO	F	0.0
2010	HO	M	0.0
2010	ID	F	0.0
2010	ID	M	0.0
2010	IN	F	0.002
2010	IN	M	0.0018
2010	IR	F	0.0203
2010	IR	M	0.0254
2010	IS	F	0.0
2010	IS	M	0.0
2010	IV	F	0.0
2010	IV	M	0.0
2010	IZ	F	0.1785
2010	IZ	M	0.2083
2010	JO	F	0.0061
2010	JO	M	0.0054
2010	KA	F	0.0
2010	KA	M	0.0
2010	KC	F	0.0
2010	KC	M	0.0
2010	KE	F	0.0426
2010	KE	M	0.0362
2010	KG	F	0.0
2010	KG	M	0.0
2010	KM	F	0.0
2010	KM	M	0.0
2010	KN	F	0.0
2010	KN	M	0.0018
2010	KRI	F	0.0
2010	KRI	M	0.0
2010	KU	F	0.002
2010	KU	M	0.0054
2010	KZ	F	0.0
2010	KZ	M	0.0
2010	LA	F	0.0
2010	LA	M	0.0
2010	LE	F	0.0
2010	LE	M	0.0
2010	LI	F	0.0
2010	LI	M	0.0018
2010	LO	F	0.0
2010	LO	M	0.0
2010	LY	F	0.0
2010	LY	M	0.0
2010	MA	F	0.0
2010	MA	M	0.0
2010	MD	F	0.0
2010	MD	M	0.0
2010	MI	F	0.0
2010	MI	M	0.0
2010	MLT	F	0.0
2010	MLT	M	0.0018
2010	MM	F	0.0
2010	MM	M	0.0
2010	MO	F	0.0
2010	MO	M	0.0
2010	MT	F	0.0
2010	MT	M	0.0
2010	MU	F	0.0
2010	MU	M	0.0
2010	MX	F	0.0
2010	MX	M	0.0
2010	MY	F	0.0081
2010	MY	M	0.0072
2010	MZ	F	0.0
2010	MZ	M	0.0
2010	NI	F	0.0
2010	NI	M	0.0
2010	NM	F	0.0
2010	NM	M	0.0
2010	NP	F	0.0609
2010	NP	M	0.0598
2010	PAL	F	0.0
2010	PAL	M	0.0
2010	PE	F	0.0
2010	PE	M	0.0
2010	PH	F	0.0
2010	PH	M	0.0
2010	PK	F	0.0
2010	PK	M	0.0
2010	RG	F	0.0
2010	RG	M	0.0
2010	RO	F	0.0
2010	RO	M	0.0
2010	RS	F	0.0
2010	RS	M	0.0
2010	RW	F	0.0081
2010	RW	M	0.0072
2010	SA	F	0.0
2010	SA	M	0.0
2010	SB	F	0.0
2010	SB	M	0.0
2010	SD	F	0.0
2010	SD	M	0.0
2010	SF	F	0.0
2010	SF	M	0.0
2010	SG	F	0.0
2010	SG	M	0.0
2010	SH	F	0.0
2010	SH	M	0.0
2010	SK	F	0.0
2010	SK	M	0.0
2010	SL	F	0.0
2010	SL	M	0.0
2010	SO	F	0.1034
2010	SO	M	0.0851
2010	SR	F	0.0
2010	SR	M	0.0
2010	SSU	F	0.0
2010	SSU	M	0.0
2010	SU	F	0.0203
